#x_rot,y_rot,z_rot,V_homo,V_lumo,Dexter,
42,4,0,-0.013971,0.019842,0.005415,FALSE
42,6,0,-0.014266,-0.01991,0.00551,FALSE
42,8,0,0.01467,-0.019964,-0.005634,FALSE
42,10,0,-0.015182,-0.019962,-0.005776,FALSE
42,12,0,-0.015809,-0.019851,0.005922,FALSE
42,14,0,-0.016566,-0.019579,0.006062,FALSE
44,0,0,0.012675,0.01889,-0.004831,FALSE
44,2,0,-0.012734,-0.018915,-0.004852,FALSE
44,4,0,0.012909,-0.01898,-0.004912,FALSE
44,6,0,0.013196,-0.019065,0.005006,FALSE
44,8,0,-0.013588,-0.019135,-0.005125,FALSE
44,10,0,-0.014086,0.019144,-0.005257,FALSE
44,12,0,0.014697,0.019034,0.005388,FALSE
46,0,0,-0.011471,0.017761,-0.004227,FALSE
46,2,0,-0.011529,0.017792,0.004249,FALSE
46,4,0,-0.011702,0.017877,-0.004311,FALSE
48,0,0,-0.01011,-0.016403,-0.003547,FALSE
88,0,0,0.045994,0.000977,-0.00118,FALSE
90,0,0,-0.046136,0,0,FALSE
90,2,0,0.046373,0,0,FALSE
0,0,2,-0.016661,-0.016469,-0.004787,FALSE
0,2,2,-0.016738,-0.016496,0.004817,FALSE
0,4,2,-0.016968,-0.016572,0.004907,FALSE
0,6,2,-0.017352,0.016692,0.005056,FALSE
0,8,2,0.017892,0.016846,0.005263,FALSE
0,10,2,-0.018584,0.017023,-0.005528,FALSE
0,12,2,0.01943,-0.017208,-0.005847,FALSE
0,14,2,0.020435,-0.017379,0.006218,FALSE
0,16,2,-0.021608,-0.01751,-0.006635,FALSE
0,18,2,0.022958,0.017567,0.007087,FALSE
0,20,2,-0.024496,0.017511,-0.00756,FALSE
0,22,2,0.026235,-0.017291,0.00803,FALSE
0,24,2,-0.02819,-0.016839,-0.008459,FALSE
0,26,2,-0.03038,0.01607,0.008783,FALSE
0,28,2,0.032833,0.014878,0.008908,FALSE
2,0,2,0.01667,-0.016501,0.004797,FALSE
2,2,2,0.016745,-0.01653,0.004827,FALSE
2,4,2,-0.016972,-0.016609,-0.004917,FALSE
2,6,2,-0.017354,0.016731,-0.005067,FALSE
2,8,2,0.017892,0.016886,-0.005275,FALSE
2,10,2,0.018587,0.01706,-0.00554,FALSE
2,12,2,-0.019439,0.017238,-0.00586,FALSE
2,14,2,-0.020453,-0.0174,-0.006231,FALSE
2,16,2,0.021636,0.017518,0.006648,FALSE
2,18,2,0.022998,-0.017562,-0.0071,FALSE
2,20,2,0.024548,-0.017492,0.007573,FALSE
2,22,2,-0.026298,0.017256,-0.008041,FALSE
2,24,2,0.028263,-0.016788,-0.008466,FALSE
2,26,2,0.030464,-0.015998,0.008786,FALSE
2,28,2,0.032931,0.014781,0.008903,FALSE
4,0,2,0.016699,-0.016594,-0.004827,FALSE
4,2,2,-0.016771,0.016625,0.004857,FALSE
4,4,2,0.016994,-0.016708,-0.004948,FALSE
4,6,2,-0.017373,-0.016834,0.005098,FALSE
4,8,2,0.017908,-0.016991,0.005307,FALSE
4,10,2,-0.018602,0.017165,-0.005574,FALSE
4,12,2,0.019458,0.01734,0.005895,FALSE
4,14,2,0.02048,-0.017492,0.006268,FALSE
4,16,2,0.021674,-0.017598,-0.006686,FALSE
4,18,2,-0.023049,-0.017627,-0.00714,FALSE
4,20,2,-0.024613,0.017539,0.007613,FALSE
4,22,2,0.026376,-0.017283,-0.008082,FALSE
4,24,2,0.028356,-0.016789,0.008506,FALSE
4,26,2,0.030576,0.015968,0.008823,FALSE
4,28,2,-0.033065,-0.014711,-0.008935,FALSE
6,0,2,-0.01675,0.01674,-0.004876,FALSE
6,2,2,-0.01682,0.016773,0.004907,FALSE
6,4,2,-0.017041,-0.016859,0.004999,FALSE
6,6,2,0.017416,0.016989,0.005151,FALSE
6,8,2,0.017948,0.017149,0.005361,FALSE
6,10,2,-0.018641,-0.017325,-0.00563,FALSE
6,12,2,0.019499,0.017497,0.005954,FALSE
6,14,2,0.020528,0.017643,-0.006329,FALSE
6,16,2,0.021732,-0.017737,-0.00675,FALSE
6,18,2,-0.02312,0.01775,0.007207,FALSE
6,20,2,0.024698,0.017642,0.007682,FALSE
6,22,2,-0.026477,-0.01736,-0.008152,FALSE
6,24,2,-0.028475,-0.016833,-0.008577,FALSE
6,26,2,0.030719,0.015972,0.008892,FALSE
6,28,2,0.033241,0.014665,-0.008999,FALSE
8,0,2,0.016827,0.016929,0.004944,FALSE
8,2,2,0.016896,-0.016964,0.004977,FALSE
8,4,2,-0.017116,0.017053,-0.005071,FALSE
8,6,2,0.017489,-0.017185,0.005224,FALSE
8,8,2,-0.01802,0.017348,0.005436,FALSE
8,10,2,0.018713,0.017525,-0.005708,FALSE
8,12,2,0.019573,0.017696,-0.006035,FALSE
8,14,2,-0.020606,-0.017837,-0.006414,FALSE
8,16,2,-0.02182,-0.017921,-0.006839,FALSE
8,18,2,-0.023218,-0.017917,0.007299,FALSE
8,20,2,-0.024809,0.017787,-0.007778,FALSE
8,22,2,-0.026605,0.017476,0.00825,FALSE
8,24,2,0.028625,-0.016911,0.008676,FALSE
8,26,2,0.030898,0.016001,-0.00899,FALSE
10,0,2,0.016928,0.017155,-0.005031,FALSE
10,2,2,-0.017,0.017191,0.005064,FALSE
10,4,2,0.01722,-0.017281,0.00516,FALSE
10,6,2,0.017594,-0.017414,0.005316,FALSE
10,8,2,-0.018126,-0.017578,-0.005532,FALSE
10,10,2,-0.01882,0.017756,-0.005807,FALSE
10,12,2,0.019682,0.017927,-0.006138,FALSE
10,14,2,0.020718,-0.018064,-0.006522,FALSE
10,16,2,-0.021937,0.01814,0.006951,FALSE
10,18,2,0.023344,0.018121,-0.007415,FALSE
10,20,2,-0.024947,-0.017966,0.007898,FALSE
10,22,2,-0.026759,-0.017622,-0.008373,FALSE
10,24,2,-0.028804,0.017013,0.0088,FALSE
10,26,2,-0.031113,-0.016046,-0.009113,FALSE
12,0,2,-0.017047,0.017417,-0.005133,FALSE
12,2,2,0.017122,-0.017451,-0.005168,FALSE
12,4,2,-0.017346,0.017541,0.005265,FALSE
12,6,2,0.017723,-0.017674,-0.005426,FALSE
12,8,2,-0.018258,-0.017838,-0.005645,FALSE
12,10,2,-0.018954,-0.018016,-0.005924,FALSE
12,12,2,-0.019817,-0.018187,-0.00626,FALSE
12,14,2,0.020855,0.018321,0.006649,FALSE
12,16,2,-0.022076,0.018389,0.007083,FALSE
12,18,2,-0.023488,0.018355,0.007552,FALSE
12,20,2,0.025102,0.018176,0.008039,FALSE
12,22,2,-0.026933,-0.017794,0.008517,FALSE
12,24,2,0.029006,-0.017135,-0.008944,FALSE
12,26,2,0.031357,-0.016102,0.009254,FALSE
14,0,2,-0.01717,0.017717,0.005249,FALSE
14,2,2,0.017251,-0.017748,0.005285,FALSE
14,4,2,0.01748,0.017836,-0.005385,FALSE
14,6,2,-0.017864,-0.017967,-0.005548,FALSE
14,8,2,0.018403,-0.01813,0.005775,FALSE
14,10,2,-0.019102,0.018307,0.006057,FALSE
14,12,2,-0.019966,-0.018476,-0.006398,FALSE
14,14,2,0.021003,-0.018608,-0.006792,FALSE
14,16,2,0.022224,-0.018669,0.007232,FALSE
14,18,2,0.023639,0.018618,0.007706,FALSE
14,20,2,-0.025262,-0.018411,-0.008196,FALSE
14,22,2,0.027112,0.017987,-0.008676,FALSE
14,24,2,-0.029217,-0.017271,-0.009102,FALSE
16,0,2,-0.017284,0.018056,0.005377,FALSE
16,2,2,-0.017372,-0.018085,-0.005415,FALSE
16,4,2,0.017608,-0.018169,0.005517,FALSE
16,6,2,-0.017999,0.018298,-0.005683,FALSE
16,8,2,-0.018545,0.018456,0.005913,FALSE
16,10,2,0.019249,-0.01863,0.006203,FALSE
16,12,2,0.020113,-0.018796,0.006548,FALSE
16,14,2,0.021148,0.018923,0.006947,FALSE
16,16,2,0.022367,0.018973,0.007392,FALSE
16,18,2,-0.023784,-0.018905,0.00787,FALSE
16,20,2,-0.025415,-0.018666,-0.008363,FALSE
16,22,2,0.027285,-0.018195,0.008843,FALSE
16,24,2,-0.029425,-0.017415,0.009266,FALSE
18,0,2,0.01738,0.018432,-0.005513,FALSE
18,2,2,-0.017475,0.018457,0.005553,FALSE
18,4,2,0.017719,0.018538,-0.005658,FALSE
18,6,2,0.018117,0.018662,0.005827,FALSE
18,8,2,0.018671,-0.018815,-0.00606,FALSE
18,10,2,-0.019379,0.018982,-0.006357,FALSE
18,12,2,-0.020245,-0.019141,-0.006707,FALSE
18,14,2,0.021279,0.019258,-0.00711,FALSE
18,16,2,0.022496,0.019295,0.007558,FALSE
18,18,2,-0.023912,-0.019204,0.008039,FALSE
18,20,2,0.025551,-0.01893,0.008533,FALSE
18,22,2,-0.027439,0.018408,0.009012,FALSE
18,24,2,-0.029616,-0.017559,0.009428,FALSE
20,0,2,0.017451,0.018833,-0.005656,FALSE
20,2,2,-0.017554,0.018854,-0.005697,FALSE
20,4,2,0.017805,-0.018931,-0.005804,FALSE
20,6,2,0.018211,0.01905,0.005976,FALSE
20,8,2,0.018771,-0.019196,0.006212,FALSE
20,10,2,0.019484,0.019353,0.006511,FALSE
20,12,2,0.020351,-0.0195,-0.006869,FALSE
20,14,2,-0.021384,0.019604,0.007273,FALSE
20,16,2,-0.022598,0.019621,-0.007723,FALSE
20,18,2,-0.024015,-0.019502,0.008204,FALSE
