#x, #y, #z, #V1, #V2
060,055,005,0.0032095,0.0017017
060,060,005,0.0031452,-0.0009152
060,065,005,-0.0035836,0.0019255
060,070,005,-0.0036977,0.0020692
060,075,005,-0.0034858,0.0015598
060,080,005,-0.0034163,-0.0015451
060,085,005,0.0036104,0.0022498
060,090,005,-0.0037376,0.0026044
065,000,005,0.0019038,-0.0000896
065,005,005,-0.0014645,-0.0000825
065,010,005,-0.0016970,0.0001004
065,015,005,0.0021256,0.0001575
065,020,005,0.0022117,-0.0001709
065,025,005,-0.0020772,-0.0001299
065,030,005,0.0022670,-0.0001372
065,035,005,-0.0024572,0.0001385
065,040,005,-0.0023899,0.0000363
065,045,005,0.0025422,-0.0000537
065,050,005,0.0030789,-0.0014297
065,055,005,-0.0032337,-0.0015795
065,060,005,0.0032905,-0.0011305
065,065,005,0.0036158,0.0020071
065,070,005,-0.0036242,0.0020415
065,075,005,-0.0034831,-0.0017389
065,080,005,-0.0035055,0.0019672
065,085,005,0.0035354,-0.0022329
065,090,005,0.0035277,-0.0022911
070,000,005,0.0018827,0.0000557
070,005,005,-0.0019110,0.0000737
070,010,005,0.0019474,0.0000937
070,015,005,0.0020951,-0.0001279
070,020,005,-0.0022419,0.0001696
070,025,005,0.0022316,0.0001529
070,030,005,-0.0023469,0.0001584
070,035,005,-0.0025482,0.0002068
070,040,005,-0.0025857,-0.0001473
070,045,005,-0.0027029,-0.0000859
070,050,005,-0.0030943,0.0013465
070,055,005,-0.0032632,0.0014627
070,060,005,0.0034097,0.0012969
070,065,005,0.0035826,0.0019090
070,070,005,-0.0035335,-0.0018981
070,075,005,-0.0035090,-0.0019169
070,080,005,0.0036161,-0.0023754
070,085,005,0.0034710,-0.0022469
070,090,005,0.0032837,0.0018680
075,000,005,0.0018312,-0.0000281
075,005,005,0.0023029,0.0001440
075,010,005,0.0021488,0.0000977
075,015,005,-0.0019971,-0.0000954
075,020,005,-0.0022723,0.0001659
075,025,005,0.0023543,-0.0002010
075,030,005,-0.0024532,0.0002286
075,035,005,0.0026428,-0.0003553
075,040,005,0.0026896,0.0003203
075,045,005,0.0027396,0.0002520
075,050,005,-0.0031160,0.0012414
075,055,005,-0.0033914,0.0017264
075,060,005,0.0034975,-0.0014909
075,065,005,0.0,0.0
075,070,005,-0.0035191,-0.0019193
075,075,005,-0.0034786,-0.0019123
075,080,005,0.0036188,0.0024879
075,085,005,0.0034542,0.0023243
075,090,005,0.0031969,-0.0017564
080,000,005,0.0018850,-0.0000115
080,005,005,-0.0024875,-0.0009299
080,010,005,-0.0021728,0.0000898
080,015,005,-0.0019568,-0.0000843
080,020,005,-0.0024164,-0.0002530
080,025,005,-0.0024221,0.0002399
080,030,005,0.0025024,0.0002782
080,035,005,-0.0027206,0.0006180
080,040,005,0.0027488,-0.0005320
080,045,005,-0.0027625,0.0003831
080,050,005,-0.0031528,0.0014545
080,055,005,0.0034792,-0.0018796
080,060,005,0.0034643,0.0014291
